ледяной переправы	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['переправа', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяного острога	[['ледяной', {'род,ед', 'вин,ед'}], ['острог', {'род,ед'}]]
ледяные свечи	[['ледяной', {'вин,мн', 'им,мн'}], ['свеча', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяная душа	[['ледяной', {'им,ед'}], ['душа', {'им,ед'}]]
ледяное покрывало	[['ледяной', {'вин,ед', 'им,ед'}], ['покрывало', {'вин,ед', 'им,ед'}]]
ледяных валов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['вал', {'род,мн'}]]
ледяной плиты	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['плита', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяного дома	[['ледяной', {'род,ед', 'вин,ед'}], ['дом', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяной грязи	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['грязь', {'вин,мн', 'дат,ед', 'пр,ед', 'род,ед', 'им,мн'}]]
ледяной бородой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['борода', {'твор,ед'}]]
ледяным просторам	[['ледяной', {'дат,мн', 'твор,ед'}], ['простор', {'дат,мн'}]]
ледяном лагере	[['ледяной', {'пр,ед'}], ['лагерь', {'пр,ед'}]]
ледяных нагромождений	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['нагромождение', {'род,мн'}]]
ледяной равнины	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['равнина', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяным саваном	[['ледяной', {'дат,мн', 'твор,ед'}], ['саван', {'твор,ед'}]]
ледяной зимой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['зима', {'твор,ед'}]]
ледяном ветру	[['ледяной', {'пр,ед'}], ['ветер', {'дат,ед', 'местн,ед'}]]
ледяное кружево	[['ледяной', {'вин,ед', 'им,ед'}], ['кружево', {'вин,ед', 'им,ед'}]]
ледяным ступеням	[['ледяной', {'дат,мн', 'твор,ед'}], ['ступень', {'дат,мн'}]]
ледяных объятий	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['объятие', {'род,мн'}]]
