худом качестве	[['худой', {'пр,ед'}], ['качество', {'пр,ед'}]]
худую лодку	[['худой', {'вин,ед'}], ['лодка', {'вин,ед'}]]
худой брат	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['брат', {'им,ед'}]]
худом мире	[['худой', {'пр,ед'}], ['мир', {'пр,ед'}]]
худой обуви	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['обувь', {'род,ед', 'дат,ед', 'пр,ед', 'вин,мн', 'им,мн'}]]
худых мальчиков	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['мальчик', {'вин,мн', 'род,мн'}]]
худую квартиру	[['худой', {'вин,ед'}], ['квартира', {'вин,ед'}]]
худые земли	[['худой', {'вин,мн', 'им,мн'}], ['земля', {'род,ед', 'вин,мн', 'им,мн'}]]
худого дерева	[['худой', {'род,ед', 'вин,ед'}], ['дерево', {'род,ед', 'вин,мн', 'им,мн'}]]
худой курицы	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['курица', {'род,ед', 'им,мн'}]]
худого глазу	[['худой', {'род,ед', 'вин,ед'}], ['глаз', {'дат,ед', 'местн,ед'}]]
худыя земли	[['худой', {'вин,мн', 'им,мн'}], ['земля', {'род,ед', 'вин,мн', 'им,мн'}]]
худое белье	[['худой', {'им,ед', 'вин,ед'}], ['белье', {'пр,ед', 'им,ед', 'вин,ед'}]]
худая мать	[['худой', {'им,ед'}], ['мать', {'им,ед', 'вин,ед'}]]
худой волк	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['волк', {'им,ед'}]]
худыми лицами	[['худой', {'твор,мн'}], ['лицо', {'твор,мн'}]]
худой пище	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['пища', {'пр,ед', 'дат,ед'}]]
худая кляча	[['худой', {'им,ед'}], ['кляча', {'им,ед'}]]
худые дела	[['худой', {'вин,мн', 'им,мн'}], ['дело', {'род,ед', 'вин,мн', 'им,мн'}]]
худой подбородок	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['подбородок', {'им,ед', 'вин,ед'}]]
худой действительности	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['действительность', {'род,ед', 'дат,ед', 'пр,ед', 'вин,мн', 'им,мн'}]]
худого мужика	[['худой', {'род,ед', 'вин,ед'}], ['мужик', {'род,ед', 'вин,ед'}]]
худыми людишками	[['худой', {'твор,мн'}], ['людишки', {'твор,мн'}]]
худая Сонька	[['худой', {'им,ед'}], ['сонька', {'им,ед'}]]
худые тела	[['худой', {'вин,мн', 'им,мн'}], ['тело', {'род,ед', 'вин,мн', 'им,мн'}]]
худой работы	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['работа', {'род,ед', 'вин,мн', 'им,мн'}]]
худой забор	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['забор', {'им,ед', 'вин,ед'}]]
худой арестант	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['арестант', {'им,ед'}]]
худая фигурка	[['худой', {'им,ед'}], ['фигурка', {'им,ед'}]]
худой собаки	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['собака', {'род,ед', 'им,мн'}]]
худом месте	[['худой', {'пр,ед'}], ['место', {'пр,ед'}]]
худой женщины	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['женщина', {'род,ед', 'им,мн'}]]
худую коленку	[['худой', {'вин,ед'}], ['коленка', {'вин,ед'}]]
худом поведении	[['худой', {'пр,ед'}], ['поведение', {'пр,ед'}]]
худой одежды	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['одежда', {'род,ед', 'вин,мн', 'им,мн'}]]
худое дерево	[['худой', {'им,ед', 'вин,ед'}], ['дерево', {'им,ед', 'вин,ед'}]]
худой доброты	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['доброта', {'род,ед', 'вин,мн', 'им,мн'}]]
худая действительность	[['худой', {'им,ед'}], ['действительность', {'им,ед', 'вин,ед'}]]
худою травою	[['худой', {'твор,ед'}], ['трава', {'твор,ед'}]]
худом теле	[['худой', {'пр,ед'}], ['тело', {'пр,ед'}]]
худыми ключицами	[['худой', {'твор,мн'}], ['ключица', {'твор,мн'}]]
худой вещмешок	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['вещмешок', {'им,ед', 'вин,ед'}]]
худую ручонку	[['худой', {'вин,ед'}], ['ручонка', {'вин,ед'}]]
худого мне	[['худой', {'род,ед', 'вин,ед'}], ['я', {'пр,ед', 'дат,ед'}]]
худым умишком	[['худой', {'дат,мн', 'твор,ед'}], ['умишко', {'твор,ед'}]]
худые проводники	[['худой', {'вин,мн', 'им,мн'}], ['проводник', {'им,мн'}]]
худой капитан	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['капитан', {'им,ед'}]]
худая беседа	[['худой', {'им,ед'}], ['беседа', {'им,ед'}]]
худой офицер	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['офицер', {'им,ед'}]]
худое обращение	[['худой', {'им,ед', 'вин,ед'}], ['обращение', {'им,ед', 'вин,ед'}]]
худом коне	[['худой', {'пр,ед'}], ['конь', {'пр,ед'}]]
худой год	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['год', {'им,ед', 'вин,ед'}]]
худой грузин	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['грузин', {'им,ед', 'вин,мн', 'род,мн'}]]
худые дети	[['худой', {'вин,мн', 'им,мн'}], ['ребенок', {'им,мн'}]]
худыми дорогами	[['худой', {'твор,мн'}], ['дорога', {'твор,мн'}]]
худой стих	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['стих', {'им,ед', 'вин,ед'}]]
худую свинью	[['худой', {'вин,ед'}], ['свинья', {'вин,ед'}]]
худая молва	[['худой', {'им,ед'}], ['молва', {'им,ед'}]]
худой пример	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['пример', {'им,ед', 'вин,ед'}]]
худой люди	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['человек', {'им,мн'}]]
худого коня	[['худой', {'род,ед', 'вин,ед'}], ['конь', {'род,ед', 'вин,ед'}]]
худой военный	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['военный', set()]]
худое правление	[['худой', {'им,ед', 'вин,ед'}], ['правление', {'им,ед', 'вин,ед'}]]
худой горшок	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['горшок', {'им,ед', 'вин,ед'}]]
худым намерением	[['худой', {'дат,мн', 'твор,ед'}], ['намерение', {'твор,ед'}]]
худых сапогах	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['сапог', {'пр,мн'}]]
худым стариком	[['худой', {'дат,мн', 'твор,ед'}], ['старик', {'твор,ед'}]]
худого он	[['худой', {'род,ед', 'вин,ед'}], ['он', {'им,ед'}]]
худой конец	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['конец', {'им,ед', 'вин,ед'}]]
худые валенки	[['худой', {'вин,мн', 'им,мн'}], ['валенок', {'вин,мн', 'им,мн'}]]
худые обычаи	[['худой', {'вин,мн', 'им,мн'}], ['обычай', {'вин,мн', 'им,мн'}]]
худой товар	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['товар', {'им,ед', 'вин,ед'}]]
худых конях	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['конь', {'пр,мн'}]]
худой кот	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['кот', {'им,ед'}]]
худые результаты	[['худой', {'вин,мн', 'им,мн'}], ['результат', {'вин,мн', 'им,мн'}]]
худого никто	[['худой', {'род,ед', 'вин,ед'}], ['никто', {'им,ед'}]]
худой монах	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['монах', {'им,ед'}]]
худой китаец	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['китаец', {'им,ед'}]]
худыми лошадьми	[['худой', {'твор,мн'}], ['лошадь', {'твор,мн'}]]
худой травы	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['трава', {'род,ед', 'вин,мн', 'им,мн'}]]
худые коровы	[['худой', {'вин,мн', 'им,мн'}], ['корова', {'род,ед', 'им,мн'}]]
худое здоровье	[['худой', {'им,ед', 'вин,ед'}], ['здоровье', {'пр,ед', 'им,ед', 'вин,ед'}]]
худое обращеше	[['худой', {'им,ед', 'вин,ед'}], ['обращеш', {'пр,ед'}]]
худую девушку	[['худой', {'вин,ед'}], ['девушка', {'вин,ед'}]]
худые кости	[['худой', {'вин,мн', 'им,мн'}], ['кость', {'род,ед', 'дат,ед', 'пр,ед', 'вин,мн', 'им,мн'}]]
худой верзила	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['верзила', {'им,ед'}]]
худой жребий	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['жребий', {'им,ед', 'вин,ед'}]]
худыми конями	[['худой', {'твор,мн'}], ['конь', {'твор,мн'}]]
худыя двла	[['худой', {'вин,мн', 'им,мн'}], ['двла', {'им,ед'}]]
худых людишек	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['людишки', {'вин,мн', 'род,мн'}]]
худая девка	[['худой', {'им,ед'}], ['девка', {'им,ед'}]]
худая жена	[['худой', {'им,ед'}], ['жена', {'им,ед'}]]
худых лошадях	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['лошадь', {'пр,мн'}]]
худая прислужка	[['худой', {'им,ед'}], ['прислужка', {'им,ед'}]]
худые привычки	[['худой', {'вин,мн', 'им,мн'}], ['привычка', {'род,ед', 'вин,мн', 'им,мн'}]]
худые колена	[['худой', {'вин,мн', 'им,мн'}], ['колено', {'род,ед', 'вин,мн', 'им,мн'}]]
худые номоканунцы	[['худой', {'вин,мн', 'им,мн'}], ['номоканунец', {'вин,мн', 'им,мн'}]]
худого решета	[['худой', {'род,ед', 'вин,ед'}], ['решето', {'род,ед', 'вин,мн', 'им,мн'}]]
худого ей	[['худой', {'род,ед', 'вин,ед'}], ['она', {'дат,ед', 'твор,ед'}]]
худое свойство	[['худой', {'им,ед', 'вин,ед'}], ['свойство', {'им,ед', 'вин,ед'}]]
худой ко	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['ко', set()]]
худого старика	[['худой', {'род,ед', 'вин,ед'}], ['старик', {'род,ед', 'вин,ед'}]]
худого положения	[['худой', {'род,ед', 'вин,ед'}], ['положение', {'род,ед', 'вин,мн', 'им,мн'}]]
худая дама	[['худой', {'им,ед'}], ['дама', {'им,ед'}]]
худой лапоть	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['лапоть', {'им,ед', 'вин,ед'}]]
худого лица	[['худой', {'род,ед', 'вин,ед'}], ['лицо', {'род,ед', 'вин,мн', 'им,мн'}]]
худой жене	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['жена', {'пр,ед', 'дат,ед'}]]
худого мужчину	[['худой', {'род,ед', 'вин,ед'}], ['мужчина', {'вин,ед'}]]
худая мысль	[['худой', {'им,ед'}], ['мысль', {'им,ед', 'вин,ед'}]]
худых судей	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['судья', {'вин,мн', 'род,мн'}]]
худом порядке	[['худой', {'пр,ед'}], ['порядок', {'пр,ед'}]]
худой француз	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['француз', {'им,ед'}]]
худой привычки	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['привычка', {'род,ед', 'вин,мн', 'им,мн'}]]
худыми намерениями	[['худой', {'твор,мн'}], ['намерение', {'твор,мн'}]]
худому рабу	[['худой', {'дат,ед'}], ['раб', {'дат,ед'}]]
худом сюртуке	[['худой', {'пр,ед'}], ['сюртук', {'пр,ед'}]]
худом смысле	[['худой', {'пр,ед'}], ['смысл', {'пр,ед'}]]
худыя руки	[['худой', {'вин,мн', 'им,мн'}], ['рука', {'род,ед', 'вин,мн', 'им,мн'}]]
худого братца	[['худой', {'род,ед', 'вин,ед'}], ['братец', {'род,ед', 'вин,ед'}]]
худую весть	[['худой', {'вин,ед'}], ['весть', {'им,ед', 'вин,ед'}]]
худое состояше	[['худой', {'им,ед', 'вин,ед'}], ['состояш', {'пр,ед'}]]
худые башмаки	[['худой', {'вин,мн', 'им,мн'}], ['башмак', {'вин,мн', 'им,мн'}]]
худым делом	[['худой', {'дат,мн', 'твор,ед'}], ['дело', {'твор,ед'}]]
