существительное,gross,riesig
Eisberg,473,141
Turbine,470,42
Maschinenhalle,469,42
Lagerhalle,464,47
Falle,459,53
Faust,455,236
Meteorit,453,54
Rund,446,99
Kastanie,441,48
Mietskaserne,440,60
Waldbrand,439,43
Panzer,438,44
Schutthaufe,438,162
Erdteil,436,97
Gedächtnis,430,69
Flutwelle,429,255
Labyrinth,428,71
Bodenschatz,425,146
Krokodil,412,84
Investitionsbedarf,408,54
Werkhalle,400,50
Schlüsselbund,393,93
Palme,390,182
Materialsammlung,385,55
Reservearmee,382,101
Experimentierfeld,378,61
Badewanne,378,43
Oval,377,45
Bagger,373,116
Reifen,371,46
Halde,371,140
Kriegsentschädigung,367,49
Glaswand,359,42
Schwinge,357,122
Schuttkegel,355,40
Ölvorkommen,351,69
Kesselschlachten,351,55
Saurier,342,76
Rauchwolke,337,219
Puzzle,333,49
Platane,329,156
Sumpfgebiet,326,41
Hakenkreuz,325,80
Kochtopf,321,47
Zigarre,320,50
Proletariat,318,44
Silo,317,41
Arbeitseinstellungen,315,62
Haushaltsdefizit,315,171
Standbild,310,46
Fackel,308,152
Therme,301,51
Besen,293,56
Misthaufe,285,53
Elephanten,285,59
Schnabel,284,43
Kohlevorkommen,280,45
Bahnhofshalle,277,48
Überkapazität,276,51
Blutzoll,276,64
Fels,275,47
Schwanz,270,50
Regenschirm,268,48
Schutthalde,261,92
Schachbrett,261,87
Tempelbau,259,52
Fabrikhalle,256,53
Kriegsgewinn,254,149
Vergeudung,253,73
Gefangenenlager,250,42
Pappel,250,55
Kastanienbaum,249,40
Fledermaus,249,70
Rüstungsindustrie,247,46
Massengrab,246,86
Reptil,246,63
Rohstoffvorkommen,245,76
Eisenerzvorkommen,243,45
Lawine,239,69
Dickhäuter,238,49
Schuttmasse,230,131
Kühlschrank,227,43
Ölreserve,220,47
Exportüberschuss,219,40
Kröte,218,53
Erdgasvorkommen,216,51
Torte,212,64
Neger,210,266
Fassade,208,41
Sonnenschirm,208,48
Tatsachenmaterials,189,66
Ameisenhaufe,188,93
Forschungsfeld,185,49
Kralle,182,70
Seifenblase,178,49
Monopolverbände,178,54
Weihnachtsbaum,177,87
Naturschatz,175,46
Echse,172,44
Rosenstrauß,163,51
Aufrüstung,162,50
Heuhaufe,158,50
Industriekomplex,155,40
Pilz,151,109
Monokultur,149,117
Kontribution,145,45
Kolonialbesitzes,144,55
Kriegsmaschine,142,162
Quellenmaterial,140,87
Appellplatz,139,45
Baugrube,137,111
Torso,135,42
Steinquader,131,53
Hakenkreuzfahne,130,85
Sockel,127,46
Lorbeerkranz,118,64
Vergrößerung,112,288
Rohstoffquelle,110,40
Rachen,108,64
Büffelherde,106,67
Monolith,101,58
Rüstungsausgabe,101,152
Pranke,100,140
Phallus,98,158
Bombentrichter,93,41
Dinosaurier,92,70
Dachboden,86,42
groß,77,212
Kaktus,69,59
Kongo,67,42
Militärausgabe,65,78
Propagandaapparat,64,119
Schuldenberg,63,338
Zarenreich,62,47
Plakatwand,61,47
Stichflamme,61,126
Spinnennetz,60,138
Wasserkopf,54,49
Massenarbeitslosigkeit,51,76
Körperbau,51,43
Feuerball,49,206
Anschwellen,48,229
Felswand,46,49
Feuersäule,45,50
Slum,43,121
Zeltstadt,41,52
Moloch,41,42
Sowjetstaat,40,56
