noun,bednyj,nischij,colour,code
дровосек,243,10,#ae2fd2,animal
италия,241,10,black,other
принцесса,240,10,black,other
штейн,238,10,black,other
музульман,238,10,black,other
плотник,237,10,#c9d7b6,hum/prof
иностранец,236,10,#1d0853,hum
богатство,235,10,black,other
свет,233,10,#1d0853,hum
тень,231,10,#1d0853,hum
зритель,231,10,#1d0853,hum
поп,229,10,#a46071,tool
захоронение,225,10,black,other
федор,223,10,black,other
александра,223,10,black,other
пастбище,222,10,#1d472d,space
прасковья,221,10,black,other
мазанка,221,10,#7dae0d,constr
картина,219,10,#18c010,workart
служащий,218,10,#1d0853,hum
раствор,216,10,#52865b,stuff
пленница,215,10,black,other
алеша,214,10,black,other
смертный,214,10,#1d0853,hum
батюшка,213,10,#1d0853,hum
разночинец,207,10,#1d0853,hum
тургенев,203,10,black,other
еврейка,202,10,black,other
заяц,201,10,#1d0853,hum
песик,201,10,black,other
людишки,201,10,black,other
дедушка,200,10,#1d0853,hum
ваня,200,10,black,other
гусляр,200,10,#c9d7b6,hum/prof
настя,199,10,black,other
падчерица,199,10,#807c99,hum:kin
зверек,198,10,#ae2fd2,animal
век,197,10,#22155c,time
ткач,197,10,#c9d7b6,hum/prof
племянник,196,10,#807c99,hum:kin
кляча,196,10,#1d1d42,hum$
град,196,10,#3ee231,quant:max
сердечко,195,10,#c89329,form
прокурор,194,10,#1d0853,hum
день,194,10,#0d34a1,time:period
тетушка,193,10,black,other
кузнец,193,10,#c9d7b6,hum/prof
государь,193,10,#1d0853,hum
планета,192,10,#689851,space/astr
дядюшка,190,10,black,other
уголок,189,10,#47e05b,sign
варя,189,10,black,other
карл,188,10,black,other
железо,188,10,#52865b,stuff
пискарев,188,10,black,other
польша,188,10,black,other
планктон,187,10,black,other
лес,187,10,#c89329,form
феллах,187,10,#c9d7b6,hum/prof
мечтатель,186,10,#1d0853,hum
шут,185,10,#1d0853,hum
гимназист,185,10,#1d0853,hum
действительность,184,10,#f51c59,be:exist?
простолюдин,184,10,#1d0853,hum
гетман,183,10,#21c919,hum/armpos
пожитки,183,10,black,other
гость,183,10,#2cb055,hum$@
сторона,183,10,#17c6c4,asp:ment
джон,183,10,black,other
яков,181,10,black,other
максим,180,10,black,other
гамлет,179,10,black,other
смотритель,178,10,#1d0853,hum
тамара,177,10,black,other
горюшице,176,10,black,other
свадьба,175,10,#a6ab9e,action
ричард,175,10,black,other
дерево,175,10,#52865b,stuff
супруга,174,10,#807c99,hum:kin
север,172,10,#1d472d,space
дядька,172,10,#c9d7b6,hum/prof
германия,172,10,black,other
клад,171,10,black,other
королева,171,10,#1d0853,hum
работница,170,10,#c9d7b6,hum/prof
натура,170,10,#c9d7b6,hum/prof
условие,169,10,#317953,причина
володя,169,10,black,other
комендантша,169,10,black,other
кость,169,10,#52865b,stuff
калмык,169,10,#2b7220,hum:etn
цыган,168,10,#2b7220,hum:etn
савельич,168,10,black,other
корова,168,10,#1d1d42,hum$
листочек,168,10,black,other
императрица,167,10,black,other
россыпь,167,10,#3ee231,quant:max
мари,166,10,#2b7220,hum:etn
владимир,166,10,black,other
княгиня,166,10,#1d0853,hum
детишки,165,10,black,other
мулла,165,10,#1d0853,hum
бурят,165,10,#2b7220,hum:etn
леди,165,10,#1d0853,hum
убранство,163,10,black,other
калий,163,10,#52865b,stuff
маменька,162,10,#807c99,hum:kin
курица,161,10,#880e41,food
самозванец,161,10,#1d0853,hum
источник,161,10,#c3f2b8,tool:device:@light
комитет,161,10,#e96f47,org
келья,160,10,#27d9f5,room
пролетарий,160,10,#1d0853,hum
черноризец,160,10,black,other
идиот,160,10,#1d0853,hum
дурнушка,160,10,#1d0853,hum
петя,159,10,black,other
местообитание,157,10,black,other
хвост,157,10,#1d0853,hum
сказка,156,10,#e93ddb,text
рассудок,155,10,#900c6f,ment
община,155,10,#c2a38c,group
кузина,154,10,#807c99,hum:kin
младенец,154,10,#1d0853,hum
солдатка,154,10,#1d0853,hum
недоносок,154,10,#1d0853,hum
клавдио,154,10,black,other
проза,154,10,black,other
воспитанник,154,10,#1d0853,hum
призрак,154,10,#96b85e,hum:supernat
борис,153,10,black,other
собачка,153,10,#a46071,tool
сосо,152,10,black,other
мальчуган,152,10,black,other
словесность,151,10,#82b380,speech
грудь,151,10,black,other
маркс,151,10,black,other
мотылек,151,10,#ae2fd2,animal
г,150,10,black,other
фосфор,150,10,#52865b,stuff
хозяйка,150,10,#1d0853,hum
миссис,150,10,#1d0853,hum
белок,150,10,#2b94f9,stuff/thing
ре,149,10,black,other
плод,149,10,#0187c3,результат?
наседка,149,10,#ae2fd2,animal
лодка,149,10,#8aa6cc,tool:transp
форма,148,10,#a46071,tool
волк,148,10,#ae2fd2,animal
дмитрий,148,10,black,other
почесть,147,10,black,other
