noun,holodnyj,ledyanoj,colour,code
воспитание,364,10,black,other
мерцание,362,10,black,other
самовар,362,10,#eb20d5,tool:dish$/tool:device
кипение,361,10,black,other
очаг,361,10,#f8f0e3,space
ремесленничество,356,10,black,other
сознание,354,10,#ab3785,ment
толпа,349,10,#dc5861,group
литосфера,349,10,#f8f0e3,space
фраза,348,10,#70ab68,speech
ход,348,10,#f8f0e3,space
чистота,347,10,black,other
зритель,347,10,#b8a02c,hum
высокомерие,345,10,#bebb3a,humq
морось,339,10,#c64267,stuff
приговор,338,10,#2bb1aa,ment/text
игра,337,10,#5a117c,?
лесостепь,335,10,#f8f0e3,space
хата,334,10,black,other
важность,334,10,#2440b4,behav
слиток,330,10,black,other
буфер,329,10,#b8a02c,hum
темперамент,329,10,black,other
сверхгигант,329,10,black,other
пальто,326,10,#3dd3f1,tool:cloth
гордость,326,10,#bebb3a,humq
родина,325,10,#f8f0e3,space
затвор,324,10,#f8f0e3,space
осетрина,323,10,#40186d,stuff/food
сапог,323,10,#7ce1aa,tool:cloth:@boot
чудовище,323,10,#b8a02c,hum
каморка,320,10,black,other
столица,319,10,#f8f0e3,space
сливки,319,10,#40186d,stuff/food
синь,317,10,#2064ed,color
штамп,317,10,#b4e9df,sign
полумрак,316,10,#6a8673,light
надменность,316,10,black,other
рассадник,315,10,#068472,space/constr
объем,314,10,#c20f13,param
капелька,314,10,#b8a02c,hum
система,314,10,#5be0b0,tool:device
действительность,314,10,#e69a8c,be:exist?
зала,313,10,black,other
пренебрежение,313,10,#ac8b87,psych:emot?
острие,312,10,black,other
клеенка,312,10,#c64267,stuff
шинель,311,10,#3dd3f1,tool:cloth
дичь,309,10,#f8f0e3,space
пирог,309,10,#da1144,food/изделие
антициклон,309,10,#75bb40,weather
стадия,308,10,black,other
трезвость,304,10,black,other
бутылка,302,10,#329aa0,unit
мастерская,300,10,#606b2e,room
еда,300,10,#47d6af,food
ладошка,299,10,black,other
академизм,297,10,black,other
местообитание,297,10,black,other
космос,297,10,#f8f0e3,space
замкнутость,294,10,black,other
поклон,294,10,#70ab68,speech
ночевка,293,10,black,other
накатка,292,10,black,other
теплоноситель,291,10,black,other
слякоть,290,10,#b02f3d,stuff/liq
экран,290,10,#ae0a06,tool
клуб,290,10,#ca710d,constr:@build
обжатие,289,10,black,other
тамбур,283,10,#e38c9b,tool:mus
простой,279,10,black,other
