noun,krasnyj,krasnovatyj,colour,code
лежень,3066,10,#447e07,hum
заря,3064,10,#d401b6,sound
сверхгигант,3054,10,black,other
железняк,3029,10,#dc7886,stuff
куртка,3017,10,#966df4,tool:cloth
стрела,3005,10,#7e7174,tool:transp
стрелка,2977,10,#abb615,tool:device
верх,2962,10,#3ae1ff,space
яшма,2952,10,#c3eb54,jewel
россия,2944,10,black,other
переплет,2931,10,#dc7886,stuff
кнопка,2929,10,#447e07,hum
юбка,2923,10,#447e07,hum
кант,2867,10,black,other
книга,2864,10,#0bf228,text
рожа,2833,10,#447e07,hum
сапожок,2829,10,black,other
полумесяц,2824,10,#77baaf,форма
чум,2792,10,#a24092,constr
кавалерист,2764,10,#561de1,hum/prof
щит,2757,10,#3ae1ff,space
кумач,2654,10,#dc7886,stuff
здание,2645,10,#a24092,constr
халат,2637,10,#966df4,tool:cloth
волк,2630,10,#425f92,animal
горка,2577,10,#706864,move/move:fig
цена,2545,10,black,other
рот,2541,10,#447e07,hum
колесо,2530,10,#7e7174,tool:transp
помидор,2525,10,#e5935c,plant
терем,2496,10,#f25962,room
молодежь,2489,10,black,other
сдвиг,2486,10,#3f8a34,move
профессор,2454,10,#447e07,hum
закат,2432,10,#7818ff,light
гроб,2399,10,#8bd31e,tool
цифра,2366,10,#75e7c1,sign
клетка,2360,10,#8bd31e,tool
призрак,2360,10,#512e22,hum:supernat
питер,2358,10,black,other
генерал,2323,10,#1be049,hum/armpos
дорожка,2309,10,#8bd31e,tool
ряд,2301,10,#337194,form
пульпа,2296,10,#dc7886,stuff
ухо,2276,10,#8bd31e,tool
китай,2263,10,black,other
тушь,2263,10,#dc7886,stuff
машина,2258,10,#7e7174,tool:transp
лампа,2251,10,#ac27ab,tool:device:@light
лоскут,2240,10,#3ae1ff,space
обложка,2237,10,black,other
мантия,2235,10,#dc7886,stuff
фильтр,2233,10,#8bd31e,tool
яичко,2204,10,#efd59c,food
бантик,2193,10,black,other
воск,2186,10,#dc7886,stuff
отворот,2183,10,#3ae1ff,space
капля,2176,10,black,other
треугольник,2175,10,#9bf24f,group
книжка,2152,10,#13fd9b,doc
тюльпан,2148,10,#e5935c,plant
кружок,2130,10,#9bf24f,group
головка,2130,10,#9bf24f,group
сургуч,2116,10,#dc7886,stuff
голова,2095,10,#447e07,hum
курсант,2086,10,#447e07,hum
вагон,2078,10,#7e7174,tool:transp
зерно,2066,10,#efd59c,food
лето,2042,10,#dd7995,time/time:season
герой,2016,10,#447e07,hum
птица,2016,10,#1850c2,hum$
свитер,1989,10,#966df4,tool:cloth
каблук,1973,10,black,other
кофта,1972,10,#966df4,tool:cloth
сорт,1964,10,#a0b5e5,hier
сотня,1961,10,#761434,money:banknote
человек,1958,10,#447e07,hum
форма,1957,10,#8bd31e,tool
люминесценция,1943,10,black,other
яранга,1934,10,#a24092,constr
узор,1904,10,#be746a,pattern
империализм,1902,10,black,other
рябина,1901,10,#ddac3b,fruit/food
бумажка,1892,10,#761434,money:banknote
крестик,1873,10,black,other
подушка,1859,10,#8bd31e,tool
лапка,1859,10,#75e7c1,sign
кофточка,1856,10,black,other
шаль,1845,10,#966df4,tool:cloth
мясо,1845,10,#dc7886,stuff
власть,1835,10,black,other
прилив,1834,10,#336b9b,weather
жилет,1817,10,#5f8050,tool/tool:cloth$
надпись,1769,10,#0bf228,text
звон,1758,10,#f69a42,speech
кисть,1747,10,#efd59c,food
майка,1721,10,#966df4,tool:cloth
фонарик,1720,10,black,other
берет,1707,10,#966df4,tool:cloth
боксит,1706,10,#dc7886,stuff
смешение,1684,10,black,other
дивизия,1672,10,#af7d78,org
квадрат,1657,10,#75e7c1,sign
специалист,1651,10,#561de1,hum/prof
комната,1649,10,#f25962,room
атлас,1649,10,#dc7886,stuff
парус,1647,10,#8bd31e,tool
зона,1639,10,#3ae1ff,space
пехота,1634,10,black,other
керамика,1631,10,black,other
газета,1600,10,#756141,text/media
соль,1586,10,#dc7886,stuff
туфля,1560,10,black,other
морковь,1545,10,#e5935c,plant
погон,1544,10,#9a25d8,access
число,1507,10,#72b286,time
полотно,1500,10,#bae5fb,workart
весна,1496,10,#dd7995,time/time:season
свекла,1493,10,#e5935c,plant
труба,1492,10,#eee91a,tool:mus
корова,1491,10,#1850c2,hum$
клюв,1488,10,black,other
чулок,1479,10,#77baaf,форма
плакат,1475,10,#bae5fb,workart
максимум,1472,10,#d353af,quant:max
пропаганда,1471,10,black,other
хвост,1469,10,#447e07,hum
свадьба,1466,10,#34e1e1,action
нога,1457,10,black,other
кресло,1449,10,#596757,tool:furn
гранат,1449,10,#e5935c,plant
казарма,1444,10,#a24092,constr
угроза,1443,10,#f69a42,speech
ртуть,1442,10,#dc7886,stuff
масть,1440,10,#2effcc,color
костюм,1439,10,#966df4,tool:cloth
шаровары,1433,10,#966df4,tool:cloth
плюш,1432,10,#dc7886,stuff
моряк,1431,10,#447e07,hum
алевролит,1421,10,black,other
коралл,1419,10,#c3eb54,jewel
ситец,1412,10,#dc7886,stuff
бронепоезд,1408,10,#7e7174,tool:transp
снег,1401,10,#336b9b,weather
уголек,1385,10,black,other
камзол,1384,10,#966df4,tool:cloth
шнур,1372,10,#8bd31e,tool
материал,1372,10,#dc7886,stuff
гроздь,1366,10,black,other
сестра,1342,10,#447e07,hum
аргиллит,1334,10,black,other
выпушка,1322,10,#dc7886,stuff
обшлаг,1317,10,black,other
вещество,1313,10,#dc7886,stuff
пасть,1306,10,black,other
капуста,1303,10,#e5935c,plant
дракон,1290,10,#425f92,animal
сволочь,1284,10,#447e07,hum
дата,1271,10,#72b286,time
шнурок,1266,10,#8bd31e,tool
фломастер,1265,10,#b44271,tool:instr
шляпа,1261,10,#447e07,hum
соус,1261,10,#dc7886,stuff
маршал,1256,10,#1be049,hum/armpos
пальто,1253,10,#966df4,tool:cloth
гребень,1251,10,#77baaf,форма
значок,1250,10,#75e7c1,sign
домик,1246,10,#febcc0,constr:@build
смерть,1232,10,#d353af,quant:max
домино,1232,10,#447e07,hum
лепесток,1229,10,#337194,form
календарь,1229,10,#7bde0d,time?
одеяние,1228,10,black,other
одеяло,1220,10,#c0fefb,tool:@bedding
вечер,1213,10,#34e1e1,action
республика,1205,10,#494d05,org$/space
вождь,1202,10,#447e07,hum
фрак,1194,10,#966df4,tool:cloth
свитка,1189,10,black,other
абажур,1176,10,black,other
цветочек,1171,10,#140922,hum$@
излучение,1170,10,black,other
смех,1155,10,#a2358d,manif:emot
сатин,1152,10,#dc7886,stuff
светофор,1150,10,#abb615,tool:device
петлица,1148,10,#75e7c1,sign
флот,1146,10,#af7d78,org
лапа,1142,10,black,other
бусы,1140,10,#9a25d8,access
двор,1137,10,#af7d78,org
планета,1136,10,#3578fb,space/astr
флуоресценция,1133,10,black,other
башмак,1111,10,#8bd31e,tool
милитаризм,1106,10,black,other
физиономия,1101,10,black,other
месяц,1099,10,#3578fb,space/astr
ливрея,1097,10,#966df4,tool:cloth
росток,1093,10,#0f0ae2,manif
рыбка,1078,10,#447e07,hum
сила,1070,10,#d353af,quant:max
дуга,1069,10,#8bd31e,tool
десант,1057,10,#9bf24f,group
коробочка,1051,10,#76a8e2,fruit
автобус,1049,10,#7e7174,tool:transp
автомобиль,1047,10,#7e7174,tool:transp
летчик,1041,10,#561de1,hum/prof
жупан,1038,10,#966df4,tool:cloth
конгломерат,1035,10,#dc7886,stuff
развод,1032,10,#55e2f0,inter:прекращение
занавес,1024,10,#8bd31e,tool
финн,1024,10,#dda730,hum:etn
окись,1023,10,#dc7886,stuff
ручка,1020,10,#b44271,tool:instr
нашивка,1020,10,#600d96,impact
лоскуток,1019,10,black,other
платьице,1017,10,black,other
дермографизм,1016,10,black,other
ворота,1007,10,#a24092,constr
собака,1002,10,#425f92,animal
лев,1000,10,#1850c2,hum$
бык,991,10,#425f92,animal
море,987,10,#d353af,quant:max
всадник,985,10,#447e07,hum
диван,983,10,#596757,tool:furn
помада,982,10,#dc7886,stuff
кулак,981,10,#447e07,hum
занавеска,980,10,#8bd31e,tool
тесьма,973,10,#dc7886,stuff
дева,965,10,#447e07,hum
тельце,956,10,#dc7886,stuff
н,951,10,black,other
орел,950,10,#1850c2,hum$
ноготь,947,10,black,other
город,940,10,#3ae1ff,space
бандитизм,937,10,black,other
краситель,925,10,#dc7886,stuff
сурок,925,10,#425f92,animal
струйка,923,10,black,other
обрез,917,10,#0df16c,tool:weapon
паста,915,10,#dc7886,stuff
башня,910,10,#a24092,constr
кружочек,907,10,black,other
рамка,906,10,#179aa3,предел
комплекс,902,10,black,other
листва,894,10,black,other
корпус,893,10,#af7d78,org
шифер,893,10,#dc7886,stuff
батарея,891,10,#aa3a15,form/кол-во
столб,889,10,#a24092,constr
утка,887,10,#f69a42,speech
река,885,10,#d353af,quant:max
площадь,877,10,#8a590f,room/space
помпон,877,10,#9a25d8,access
струя,874,10,#7af043,?
бок,873,10,#3ae1ff,space
стрептоцид,864,10,black,other
тряпочка,862,10,black,other
матрос,860,10,#561de1,hum/prof
зараза,853,10,#447e07,hum
зонтик,845,10,#8bd31e,tool
покрывало,845,10,#c0fefb,tool:@bedding
кружка,844,10,#8bd31e,tool
свеча,843,10,#77baaf,форма
мухомор,842,10,#e5935c,plant
транспарант,841,10,#f862de,supporttext
купец,837,10,#447e07,hum
игла,834,10,#ec61ce,hair$
модификация,832,10,black,other
каемка,828,10,black,other
рубин,827,10,#c3eb54,jewel
дьявол,822,10,#447e07,hum
галифе,821,10,#966df4,tool:cloth
церковь,820,10,#a24092,constr
лужа,817,10,#3ae1ff,space
сердце,816,10,#c674fc,psych:emot
волокно,813,10,#dc7886,stuff
сокол,811,10,#1850c2,hum$
гребешок,810,10,#425f92,animal
железо,805,10,#dc7886,stuff
кусок,804,10,black,other
знак,802,10,#0f0ae2,manif
дуб,798,10,#447e07,hum
суббота,798,10,#40e422,time:week
разведчик,794,10,#7e7174,tool:transp
книжица,790,10,black,other
тело,783,10,#0192d4,thing
фигура,783,10,#447e07,hum
пиджак,780,10,#966df4,tool:cloth
роспись,778,10,#bae5fb,workart
тетрадь,776,10,#0192d4,thing
карточка,775,10,#751221,text$
компонент,773,10,black,other
виноград,766,10,#e5935c,plant
розетка,765,10,#bae5fb,workart
система,765,10,#abb615,tool:device
шляпка,758,10,#966df4,tool:cloth
камешек,753,10,black,other
рак,748,10,#eee810,disease
ниточка,743,10,black,other
порфир,741,10,#dc7886,stuff
бабочка,741,10,#9a25d8,access
башлык,741,10,#966df4,tool:cloth
чума,739,10,black,other
трамвай,737,10,#7e7174,tool:transp
туфелька,735,10,black,other
вывеска,732,10,#f862de,supporttext
батальон,731,10,#af7d78,org
изразец,730,10,black,other
лиса,729,10,#dc7886,stuff
бакен,728,10,#8bd31e,tool
ладонь,721,10,black,other
охранник,720,10,#561de1,hum/prof
бровь,720,10,black,other
пелена,720,10,#dc7886,stuff
тыл,718,10,#3ae1ff,space
лампада,717,10,#ac27ab,tool:device:@light
казачество,710,10,black,other
кисточка,707,10,black,other
перевязь,706,10,black,other
телефон,703,10,#0bf228,text
калина,699,10,#9aec4e,plant:@bush
артиллерия,698,10,black,other
гриб,697,10,#e5935c,plant
муравей,691,10,#425f92,animal
брызги,689,10,#dc7886,stuff
шрифт,689,10,black,other
затылок,687,10,#3ae1ff,space
тряпица,686,10,black,other
клен,676,10,#e5935c,plant
сланец,674,10,#dc7886,stuff
карта,673,10,#8bd31e,tool
носок,671,10,#966df4,tool:cloth
колпачок,670,10,black,other
косоворотка,664,10,#966df4,tool:cloth
кровля,664,10,black,other
лилия,662,10,#e5935c,plant
ящик,662,10,#af7d78,org
кокарда,662,10,#75e7c1,sign
поясок,660,10,black,other
дичь,659,10,#3ae1ff,space
морда,657,10,black,other
эшелон,656,10,#7e7174,tool:transp
бандит,649,10,#447e07,hum
вымысел,649,10,#e6e331,ment
флотилия,648,10,#9bf24f,group
хитон,644,10,#966df4,tool:cloth
чай,643,10,#df96be,stuff/food/liq
сторно,641,10,black,other
скот,639,10,#447e07,hum
лозунг,639,10,#0bf228,text
кубик,638,10,#337194,form
орден,637,10,#9bf24f,group
червь,633,10,#c674fc,psych:emot
яхонт,631,10,#c3eb54,jewel
союз,629,10,#cfb8f6,org/group
черт,628,10,#447e07,hum
царицын,623,10,black,other
резина,622,10,#dc7886,stuff
ножка,620,10,#8bd31e,tool
караван,619,10,black,other
вышивка,619,10,#be746a,pattern
киноварь,617,10,#dc7886,stuff
лава,612,10,#a72c7e,move:body
герань,611,10,#e5935c,plant
цепь,609,10,#337194,form
змея,608,10,#1850c2,hum$
контур,606,10,#e5cdf1,ракурс
граф,603,10,#447e07,hum
маска,603,10,#dc7886,stuff
корочка,602,10,#13fd9b,doc
горошек,601,10,#e5935c,plant
обои,599,10,#dc7886,stuff
черепок,597,10,#dc7886,stuff
коробка,597,10,#8bd31e,tool
юфть,595,10,#dc7886,stuff
место,594,10,#8bd31e,tool
подушечка,594,10,#447deb,food/изделие
факел,591,10,#83f7ad,tool:@light
листок,591,10,#13fd9b,doc
пожар,590,10,#0f0ae2,manif
колос,589,10,black,other
эскадрон,588,10,#af7d78,org
дьяволенок,585,10,#447e07,hum
билет,585,10,#13fd9b,doc
ягодка,582,10,#447e07,hum
султан,580,10,#9a25d8,access
гостиная,576,10,#f25962,room
гниль,574,10,#9f4193,stuff/food
башмачок,570,10,black,other
республиканец,568,10,#447e07,hum
фараон,568,10,#277fc6,game/cardgame
лампадка,568,10,black,other
помощь,565,10,#447e07,hum
брюки,563,10,#966df4,tool:cloth
берег,561,10,#3ae1ff,space
ворот,558,10,#abb615,tool:device
лощение,554,10,black,other
революция,553,10,black,other
панталоны,551,10,#966df4,tool:cloth
каблучок,536,10,black,other
кварцит,533,10,black,other
палатка,533,10,#a24092,constr
петушок,532,10,black,other
мотоцикл,532,10,#7e7174,tool:transp
перчатка,530,10,#5f8050,tool/tool:cloth$
бузина,530,10,#e5935c,plant
асимметрия,530,10,black,other
свита,530,10,#966df4,tool:cloth
дверь,523,10,#3ae1ff,space
малина,521,10,#65df59,space/room
овсяница,521,10,#24425d,plant/food:fodder
грудь,520,10,black,other
око,518,10,black,other
корабль,518,10,#7e7174,tool:transp
спектр,515,10,#2effcc,color
май,515,10,#d543f1,time:month
д,513,10,black,other
пунктир,512,10,#3ae1ff,space
пустыня,511,10,#3ae1ff,space
колония,509,10,#3ae1ff,space
черкеска,508,10,#966df4,tool:cloth
мяч,508,10,#8bd31e,tool
трусы,506,10,#966df4,tool:cloth
черточка,506,10,#75e7c1,sign
октябрь,503,10,#d543f1,time:month
сердолик,503,10,#c3eb54,jewel
костер,501,10,#3ae1ff,space
стан,501,10,#ac3e47,tool/tool:device:@machine
повстанец,499,10,#447e07,hum
шкатулка,497,10,#8bd31e,tool
змейка,490,10,#425f92,animal
окантовка,489,10,#3ae1ff,space
пион,487,10,#e5935c,plant
трико,487,10,#966df4,tool:cloth
предмет,485,10,#e6e331,ment
сумка,485,10,#8bd31e,tool
лошадь,481,10,#1850c2,hum$
туча,480,10,#d353af,quant:max
зал,480,10,#f25962,room
продукт,478,10,#efd59c,food
вишня,477,10,#e5935c,plant
агитатор,476,10,#561de1,hum/prof
ткач,473,10,#561de1,hum/prof
коммунар,472,10,#447e07,hum
