noun,zolotoj,zolotistyj,colour,code
сервиз,444,10,black,other
звон,443,10,#db2bc1,speech
ножка,439,10,#8814ea,tool
мишура,439,10,black,other
глазет,437,10,#95212d,stuff
исчисление,437,10,black,other
побрякушка,435,10,#df9972,toy
зал,432,10,#6b7de4,room
сад,429,10,#94911b,org
бусина,427,10,black,other
оплечье,426,10,black,other
перстенек,421,10,black,other
ребята,421,10,black,other
ошейник,415,10,#8814ea,tool
место,412,10,#8814ea,tool
пошлина,412,10,black,other
жертвенник,411,10,#1f05e5,space
улыбка,411,10,#392b38,manif:emot
бумажка,411,10,#7111eb,money:banknote
халат,411,10,#e43167,tool:cloth
плуг,410,10,#d78e79,asp:move
кисточка,408,10,black,other
смальта,408,10,black,other
клюв,408,10,black,other
письмо,407,10,#032bb5,asp
теленок,404,10,#237265,animal
жгут,404,10,#8814ea,tool
сандалия,400,10,black,other
шкатулка,394,10,#8814ea,tool
оболочка,388,10,#95212d,stuff
убранство,388,10,black,other
топор,387,10,#ffec83,tool:instr
серединка,386,10,black,other
павлин,385,10,#237265,animal
мо,384,10,black,other
прага,381,10,black,other
частица,380,10,black,other
дублон,379,10,black,other
уста,378,10,black,other
ларчик,378,10,black,other
лом,377,10,#ffec83,tool:instr
ярлык,376,10,#ebfc33,word/speech
кадильница,375,10,black,other
амальгама,373,10,#95212d,stuff
ангел,372,10,#42be89,hum
греза,372,10,#ee3441,ment
пектораль,371,10,black,other
тучка,371,10,black,other
нога,371,10,black,other
бог,371,10,#2490dc,hum:supernat
веретенце,368,10,black,other
булава,364,10,#8814ea,tool
врата,362,10,#85bd4f,tool/constr
палец,362,10,#8814ea,tool
вывеска,359,10,#eda270,supporttext
п,359,10,black,other
груз,358,10,#a43fa0,thing
контур,358,10,#9f2906,ракурс
подложка,354,10,black,other
я,354,10,#42be89,hum
рубин,354,10,#ebd72a,jewel
колокол,353,10,#c161e7,tool:mus
шапочка,351,10,black,other
кант,351,10,black,other
остров,346,10,#1f05e5,space
подвесок,345,10,#794840,access
урна,342,10,#8814ea,tool
розетка,342,10,#1170f5,workart
иконостас,340,10,black,other
народ,339,10,black,other
соверен,339,10,black,other
экю,338,10,black,other
счастие,337,10,black,other
чекан,337,10,#ffec83,tool:instr
мозаика,337,10,black,other
родник,337,10,#b2aeea,space/spring
баран,335,10,#237265,animal
юность,334,10,#e9e084,time:age
потир,333,10,black,other
нож,332,10,#2c8e8f,tool:instr/tablesetting
кинжал,332,10,#9c02f9,tool:weapon
лето,331,10,#a2dc18,time/time:season
поезд,330,10,#3d30d2,tool:transp
мера,328,10,#439d8f,unit
будда,328,10,black,other
тюбетейка,328,10,#e43167,tool:cloth
обрамление,327,10,#b4bbad,impact
дробница,327,10,black,other
чара,325,10,#91d4cf,tool:dish
табличка,324,10,black,other
трубочка,322,10,#7bab62,food/изделие
