noun,malenkij,kroshechnyj,colour,code
смерть,607,10,#d68d0d,quant:max
соня,607,10,#702dab,animal
торжество,606,10,#7d7ae0,psych:emot
лопатка,606,10,#4277c6,tool:instr
библиотечка,605,10,black,other
трилогия,605,10,black,other
страничка,605,10,black,other
камушек,604,10,black,other
сочинение,602,10,#ac2bbd,speech?
хлебец,601,10,#49b81e,food/изделие
змейка,600,10,#702dab,animal
княжна,600,10,#e7cb93,hum
прибыль,599,10,#33d632,quant:рез
павел,599,10,black,other
чертенок,597,10,#e7cb93,hum
иллюстрация,596,10,#66616f,workart
бочонок,595,10,#79a298,tool:dish
конверт,595,10,#2c23c2,tool:cloth$/tool
клеточка,595,10,black,other
шкафчик,593,10,black,other
купол,592,10,black,other
семейство,590,10,#ef5046,group
мышь,590,10,#702dab,animal
стул,590,10,#db9b1f,stuff
тропинка,589,10,#bcabd8,space
деревцо,588,10,black,other
лагерь,588,10,#ef5046,group
андрей,587,10,black,other
отделение,587,10,#d77d8b,org
вера,585,10,#022343,ment
трактор,583,10,#44a498,tool:transp/tool:device:@machine
вольность,582,10,#59f0b4,text
класс,582,10,#1baa0e,hier/param
помощь,582,10,#e7cb93,hum
делянка,581,10,#9f8abf,space/plot
мельница,580,10,#57faab,tool:device
цель,576,10,#022343,ment
балкончик,575,10,black,other
экскурсия,574,10,#ef5046,group
стайка,574,10,black,other
кольцо,573,10,#9e89b3,put
разъезд,572,10,#bcabd8,space
сарайчик,572,10,black,other
лорд,571,10,#e7cb93,hum
форма,569,10,#a62bc2,tool
поместье,568,10,#bcabd8,space
знак,568,10,#41db34,manif
организация,568,10,#d77d8b,org
неудача,567,10,black,other
школьница,567,10,black,other
чайник,566,10,#e7cb93,hum
цикл,566,10,#a41247,work/text
блондинка,565,10,black,other
центр,564,10,#d77d8b,org
ямочка,563,10,black,other
кисточка,563,10,black,other
сила,562,10,#d68d0d,quant:max
ученица,562,10,black,other
особняк,562,10,#a406c3,constr
особа,557,10,#e7cb93,hum
лекция,554,10,#59f0b4,text
приятель,553,10,#e7cb93,hum
танцовщица,553,10,black,other
ужимка,552,10,#a452db,behav
вилла,552,10,#a406c3,constr
эксперимент,550,10,black,other
куколка,548,10,#702dab,animal
бабочка,548,10,#fbe32e,access
дания,547,10,black,other
пристройка,546,10,#a406c3,constr
лужа,546,10,#bcabd8,space
талант,545,10,#e7cb93,hum
диаметр,545,10,black,other
личность,545,10,#e7cb93,hum
толчок,544,10,#fc7587,причина
скрипка,542,10,#465a52,tool:mus
яхта,542,10,#75a92c,tool:transp
эскиз,542,10,#66616f,workart
федя,541,10,black,other
уродец,537,10,black,other
парус,537,10,#a62bc2,tool
подвиг,536,10,black,other
именьице,536,10,black,other
саквояж,536,10,#a62bc2,tool
урок,535,10,#9d326b,результат$
эстония,534,10,black,other
шкатулка,533,10,#a62bc2,tool
задача,532,10,#022343,ment
конторка,531,10,#682f9d,room
королева,530,10,#e7cb93,hum
шрам,529,10,black,other
ножичек,528,10,black,other
жанна,527,10,black,other
войско,526,10,#d77d8b,org
сумка,526,10,#a62bc2,tool
бродяга,525,10,#e7cb93,hum
сверточек,523,10,black,other
кувшинчик,523,10,black,other
разбойница,522,10,black,other
сообщение,521,10,#2b4495,ment?
трещина,519,10,#bcabd8,space
молекула,517,10,black,other
выемка,516,10,#bcabd8,space
паровоз,514,10,#75a92c,tool:transp
опера,514,10,#632056,workmus
шалаш,510,10,#a406c3,constr
контора,510,10,#d77d8b,org
труженик,510,10,#e7cb93,hum
рай,510,10,#bcabd8,space
сербия,509,10,black,other
жемчужина,509,10,black,other
скорость,509,10,#1df95d,speed/param
лук,508,10,#eb239e,plant
сувенир,507,10,#a374e2,thing
дождь,507,10,#462f02,weather
хуторок,505,10,black,other
ус,505,10,#6ea0e5,hair
машинка,505,10,#57faab,tool:device
ветка,505,10,#bcabd8,space
вклад,504,10,#492150,poss
хибарка,504,10,black,other
пансион,503,10,#a6668d,?
женя,503,10,black,other
избенка,502,10,black,other
косичка,501,10,black,other
козленок,500,10,#702dab,animal
беда,500,10,#d68d0d,quant:max
знамя,499,10,#41b6af,sign:знамя
император,499,10,#e7cb93,hum
будка,499,10,#de0ce5,room/constr
раб,498,10,#e7cb93,hum
башенка,497,10,#a406c3,constr
помещик,496,10,#e7cb93,hum
ленинградец,495,10,black,other
олень,494,10,#702dab,animal
павлик,494,10,black,other
флейта,494,10,#465a52,tool:mus
коллекция,493,10,black,other
вечер,492,10,#832575,action
скрипач,492,10,#20b153,hum/prof
гора,490,10,#bcabd8,space
воспитанник,489,10,#e7cb93,hum
наследник,489,10,#e7cb93,hum
давид,488,10,black,other
деспот,487,10,#e7cb93,hum
район,485,10,#bcabd8,space
голландия,485,10,black,other
крошка,485,10,#43178d,impact
росток,485,10,#41db34,manif
фонтанчик,484,10,black,other
приемник,484,10,#d77d8b,org
штат,483,10,#59f0b4,text
кишлак,483,10,#bcabd8,space
кастрюлька,482,10,black,other
чувство,481,10,#7d7ae0,psych:emot
израиль,480,10,black,other
дъвочка,480,10,black,other
желание,480,10,#9045ff,psych:volit
нина,477,10,black,other
горенка,476,10,#682f9d,room
горница,475,10,#682f9d,room
приток,475,10,#1e8d3e,space/reservoir
столбик,474,10,#aceef8,form
посылка,474,10,#0a596b,move
митя,474,10,black,other
кровать,474,10,#a8c140,tool:furn
скандал,473,10,#d99aac,inter
отросток,472,10,black,other
сосенка,471,10,black,other
анна,471,10,black,other
набросок,470,10,#66616f,workart
сестрица,469,10,black,other
николай,469,10,black,other
суд,468,10,#022343,ment
глобус,468,10,#9c6e26,tool:@model
самовар,467,10,#7e0107,tool:dish$/tool:device
фотокарточка,466,10,#66616f,workart
коммуна,466,10,#bcabd8,space
орган,466,10,#d77d8b,org
кость,466,10,#db9b1f,stuff
вселенная,463,10,#bcabd8,space
запас,463,10,black,other
исследование,462,10,black,other
огородик,459,10,black,other
макушка,458,10,black,other
терраса,457,10,#bcabd8,space
наковальня,457,10,#a62bc2,tool
фонарь,454,10,#b2c94f,tool:device:@light
поднос,454,10,#0a596b,move
эссе,452,10,#59f0b4,text
родник,451,10,#ca9f72,space/spring
молния,450,10,#a62bc2,tool
очки,450,10,#a62bc2,tool
япония,449,10,black,other
паучок,449,10,black,other
болотце,446,10,black,other
лопасть,445,10,black,other
